Termo ou Expressão,Uso,Contexto,Grau de Ofensividade,Fonte
deputag,@alesilva_38 Não seria uma deputag transtiktok?,É usado como ofensa LGBTQfóbica,Insulto,Mapa da Violência Política de Gênero
transtiktok,@alesilva_38 Não seria uma deputag transtiktok?,É usado como ofensa LGBTQfóbica,Insulto,Mapa da Violência Política de Gênero
estude,"@andrade_laide @JAMD82762518 @SimoneTebetms Mu para vc querida, estude e não passe vergonha na web…",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
Mu,"@andrade_laide @JAMD82762518 @SimoneTebetms Mu para vc querida, estude e não passe vergonha na web…",É usado para estigmatizar e desumanizar o alvo,Insulto,Mapa da Violência Política de Gênero
não passe vergonha,"@andrade_laide @JAMD82762518 @SimoneTebetms Mu para vc querida, estude e não passe vergonha na web…",É usado para expressão descontentamento com as atitudes do alvo,Invalidação,Mapa da Violência Política de Gênero
mocinha,@Biakicis @CNNBrasil @JovemPanNews Essa mocinha vibra com noticias ruins como se tivesse tendo orgasmos!!!! Ela nao é normal….,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
tem orgasmos/ ter orgasmos/ tendo orgasmos,@Biakicis @CNNBrasil @JovemPanNews Essa mocinha vibra com noticias ruins como se tivesse tendo orgasmos!!!! Ela nao é normal….,É usado para sexualizar o alvo,Insulto,Mapa da Violência Política de Gênero
baixa cognição,"@Biakicis @LRobertoBarroso Você não sabe a diferença entre uma substância que só afeta o organismo de quem usa e uma vacina que previne a disseminação de uma doença? De boa, essa baixa cognição é doença degenerativa ou sequela de acidente?",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
não sabe a diferença entre (.*) e (.*),"@Biakicis @LRobertoBarroso Você não sabe a diferença entre uma substância que só afeta o organismo de quem usa e uma vacina que previne a disseminação de uma doença? De boa, essa baixa cognição é doença degenerativa ou sequela de acidente?",É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
(.*) asneiras ,"@Biakicis @VEJA Sua velha FDP @Biakicis  quando é parte da oposição vc abre essa tua boca de sepulcro pra vomitar asneiras, mas quando é o teu MICto e a FAMILICIA vc fica quietinha né. Vá pra PQP!!!",Insinua que o alvo fala bobeiras,Invalidação,Mapa da Violência Política de Gênero
